source_tweet,date,line,type,delay_minutes,duration_hours
799397710759686144,2016-11-19,C,closure,,24
799397710759686144,2016-11-19,D,closure,,24
799397710759686144,2016-11-19,E,closure,,24
798670510603309056,2016-11-15,E,delay,30,2
798670510603309056,2016-11-15,F,delay,30,2
798670510603309056,2016-11-15,H,delay,30,2
797455917004582912,2016-11-13,E,closure,,24
797455917004582912,2016-11-13,H,closure,,24
797455917004582912,2016-11-12,E,closure,,24
797455917004582912,2016-11-12,H,closure,,24
796742492125335552,2016-11-10,A,delay,30,
796425602412773379,2016-11-09,A,delay,40,
794873405640208384,2016-11-06,E,closure,,24
794873405640208384,2016-11-06,H,closure,,24
794873405640208384,2016-11-05,E,closure,,24
794873405640208384,2016-11-05,H,closure,,24
791041187549372416,2016-10-25,E,delay,30,2
791041187549372416,2016-10-25,F,delay,30,2
791041187549372416,2016-10-25,H,delay,30,2
788852780068843520,2016-10-19,E,closure,,2
788852780068843520,2016-10-19,F,closure,,2
786179247857471488,2016-10-12,A,delay,15,6
785784387568738304,2016-10-11,A,closure,,2
785784387568738304,2016-10-11,B,closure,,2
783052316437913600,2016-10-03,A,delay,20,2
783003512141516800,2016-10-03,B,closure,,4
781852308489383937,2016-09-30,A,delay,15,1
780013992903180288,2016-09-25,B,closure,,24
778979723346980864,2016-09-22,A,delay,15,2
778655760410562560,2016-09-21,D,closure,,2
778655760410562560,2016-09-21,F,closure,,2
778655760410562560,2016-09-21,H,closure,,2
776392071263293441,2016-09-15,E,delay,30,1
776392071263293441,2016-09-15,F,delay,30,1
776199822374215680,2016-09-14,E,delay,15,
776199822374215680,2016-09-14,F,delay,15,
776199822374215680,2016-09-14,H,delay,15,
775809751061979136,2016-09-13,A,delay,,1
774895270584721408,2016-09-11,D,closure,,12
774337519634612224,2016-09-09,A,delay,20,1
774337519634612224,2016-09-09,B,delay,20,1
773982666001485824,2016-09-08,W,delay,45,
771496256212307968,2016-09-01,A,delay,15,1
771483804355616768,2016-09-01,A,delay,60,1
771094774212243457,2016-08-31,A,delay,20,2
770978873957752832,2016-08-31,C,delay,,1
770978873957752832,2016-08-31,D,delay,,1
769155190771507200,2016-08-26,A,delay,25,2
768851538743746560,2016-08-25,D,delay,,1
767737315837960192,2016-08-22,W,delay,20,1
766790557490221062,2016-08-20,D,delay,,1
766790557490221062,2016-08-20,F,delay,,1
766790557490221062,2016-08-20,H,delay,,1
766713405587664896,2016-08-19,D,delay,,1
766664712280911872,2016-08-19,A,delay,,1
765882945022357504,2016-08-17,A,delay,30,3
765665173621268480,2016-08-16,D,delay,,1
763780330016813056,2016-08-11,A,delay,15,5
763481762668351488,2016-08-10,A,delay,,2
759172692939382784,2016-07-29,C,delay,15,1
759172692939382784,2016-07-29,D,delay,15,1
759172692939382784,2016-07-29,E,delay,15,1
759172692939382784,2016-07-29,F,delay,15,1
759172692939382784,2016-07-29,H,delay,15,1
757588605917237250,2016-07-25,A,delay,30,2
756294249113452544,2016-07-22,A,delay,20,2
755920820132720641,2016-07-21,D,closure,,24
755920820132720641,2016-07-21,F,closure,,24
755920820132720641,2016-07-21,H,closure,,24
755800681970147328,2016-07-20,A,delay,15,3
755920820132720641,2016-07-20,D,closure,,24
755920820132720641,2016-07-20,F,closure,,24
755920820132720641,2016-07-20,H,closure,,24
755388424501075968,2016-07-19,A,delay,30,2
754463654423080960,2016-07-16,A,delay,30,1
750483193782865920,2016-07-06,A,delay,35,
750456909333835777,2016-07-05,A,delay,15,
748930219159855104,2016-07-01,D,delay,30,1
748930219159855104,2016-07-01,F,delay,30,1
748930219159855104,2016-07-01,H,delay,30,1
748855646301200385,2016-07-01,A,delay,20,2
747944119591276546,2016-06-29,A,delay,15,3
746370206482604032,2016-06-24,E,closure,,1
746370206482604032,2016-06-24,F,closure,,1
746370206482604032,2016-06-24,H,closure,,1
745348250513727489,2016-06-21,A,delay,30,5
744654616873230336,2016-06-19,A,delay,15,3
744139239546200065,2016-06-18,A,delay,15,2
743928980420472832,2016-06-17,A,delay,30,3
743929431102611456,2016-06-17,D,delay,10,
743929431102611456,2016-06-17,F,delay,10,
743929431102611456,2016-06-17,H,delay,10,
743850637771759616,2016-06-17,A,delay,20,7
743233705016070144,2016-06-16,A,delay,45,2
742534486466822144,2016-06-14,A,closure,,2
742051996010614784,2016-06-12,A,delay,20,2
741344817632837632,2016-06-10,C,delay,15,3
741344817632837632,2016-06-10,D,delay,15,3
741051129706905601,2016-06-09,E,delay,15,1
741051129706905601,2016-06-09,F,delay,15,1
740877512788443136,2016-06-09,A,delay,15,2
739143676673200128,2016-06-04,A,delay,15,3
737878498832945152,2016-06-01,A,delay,,
735423577160187905,2016-05-25,E,closure,,4
735423577160187905,2016-05-25,F,closure,,4
735423577160187905,2016-05-25,H,closure,,4
735257965389746176,2016-05-25,D,closure,,5
735219113463668736,2016-05-25,A,closure,,3
734695801981566976,2016-05-23,A,delay,,1
734402866299817984,2016-05-22,A,delay,15,3
734095799546568704,2016-05-21,A,closure,,1
733409399193010176,2016-05-19,A,delay,15,8
733361754130894848,2016-05-19,A,delay,15,
732736757297340416,2016-05-18,A,delay,15,
732409623538372608,2016-05-17,A,delay,15,2
730876493648121856,2016-05-12,A,delay,15,1
727206036105515008,2016-05-02,A,delay,20,1
727128269632462850,2016-05-02,D,delay,20,1
727128269632462850,2016-05-02,F,delay,20,1
727128269632462850,2016-05-02,H,delay,20,1
725094255027343361,2016-04-26,A,delay,15,1